"","D3","D2"
"1",2,4518
"2",1,3953
"3",2,2304
"4",1,5334
"5",1,3624
"6",2,3432
"7",1,2744
"8",1,4004
"9",1,4482
"10",1,3440
"11",1,2466
"12",1,5114
"13",1,3682
"14",2,3655
"15",1,3240
"16",1,1938
"17",1,3565
"18",1,4687
"19",1,939
"20",2,2539
"21",1,1223
"22",1,4124
"23",1,4695
"24",2,1811
"25",1,249
"26",2,1578
"27",2,707
"28",1,4363
"29",1,1988
"30",2,1143
"31",1,4166
"32",1,3562
"33",1,3742
"34",1,4815
"35",2,5433
"36",1,527
"37",1,4842
"38",2,4219
"39",2,3138
"40",1,3476
"41",1,4347
"42",1,1470
"43",1,3197
"44",1,3718
"45",2,3989
"46",1,4252
"47",1,3818
"48",1,4067
"49",2,2687
"50",2,2456
"51",1,237
"52",2,2185
"53",2,1603
"54",1,3047
"55",1,5930
"56",1,4096
"57",2,1914
"58",2,1027
"59",1,3379
"60",1,4828
"61",1,2594
"62",1,2601
"63",2,3680
"64",1,3970
"65",1,3528
"66",1,3535
"67",2,316
"68",1,2014
"69",1,2982
"70",1,4594
"71",2,3558
"72",1,5260
"73",2,3156
"74",1,4241
"75",2,2944
"76",1,4857
"77",1,4435
"78",1,3718
"79",1,1367
"80",2,3232
"81",1,5379
"82",2,3312
"83",1,3331
"84",1,4535
"85",1,1079
"86",2,782
"87",2,4760
"88",1,4085
"89",2,2026
"90",1,3574
"91",1,3959
"92",2,1596
"93",1,4521
"94",1,4447
"95",2,3118
"96",2,2715
"97",1,2824
"98",1,3892
"99",1,3195
"100",1,3437
"101",2,3464
"102",2,5067
"103",1,3689
"104",2,2400
"105",1,2601
"106",1,2377
"107",1,5830
"108",2,4081
"109",1,3680
"110",1,3322
"111",2,3089
"112",1,3874
"113",1,1257
"114",2,3622
"115",1,3588
"116",1,4091
"117",2,3811
"118",1,6543
"119",1,1106
"120",1,8277
"121",1,4477
"122",1,558
"123",1,1107
"124",1,3954
"125",2,2344
"126",1,4191
"127",1,4033
"128",1,6162
"129",2,4148
"130",1,4078
"131",1,1679
"132",2,4151
"133",1,4102
"134",1,3930
"135",1,3782
"136",1,5185
"137",1,3807
"138",1,3470
"139",1,5860
"140",1,4926
"141",1,1152
"142",2,3357
"143",1,5409
"144",2,4155
"145",2,4411
"146",1,3961
"147",1,3158
"148",2,2845
"149",1,3366
"150",1,4334
"151",2,3269
"152",1,6543
"153",1,4826
"154",1,4681
"155",1,1521
"156",2,5717
"157",1,3333
"158",1,5380
"159",1,4093
"160",1,3776
"161",1,3690
"162",1,3006
"163",2,3252
"164",1,2078
"165",1,1845
"166",1,7761
"167",1,3921
"168",2,3201
"169",1,5889
"170",1,2479
"171",1,3661
"172",1,539
"173",1,4317
"174",1,3332
"175",2,4459
"176",1,4225
"177",1,427
"178",2,2724
"179",1,4049
"180",2,3943
"181",1,957
"182",2,3718
"183",2,5634
"184",2,987
"185",1,2722
